# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\Mario2.png	255	255	255
70	textures\Mario.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies-2.png	0	128	128
30	textures\bbox.png	255	255	255
40	textures\misc1.png	176	224	248
50	textures\enemies.png	3	26	110
60	textures\enemies - Copy.png	3	26	110
# id	left	top	right	bottom	texture_id
[SPRITES]

# BIG Fox MARIO 
# idle right	
10001	212	443	233	471	0
# walk
10002	262	443	284	471	0
10003	252	603	274	631	0
# idle left
10011	173	443	194	471	0
#walk
10012	122	443	144	471	0
10013	132	603	154	631	0
#jump right
10004	331	443	354	470	0
#jump Left
10014	52	443	75	470	0
#sitting
10005 	372	448	394	466	0
#sitting Left
10015	12	448	34	466	0
#Turn left
10006	215	482	231	512	0
#turn Right
10016	175	482	191	512	0
#Idle Running Fast RIGHT
10007	211	523	235	552	0
#Idle Running Fast LEFT
10017	171	523	195	552	0
#WAlKING Fast RIGHT
10008	251	523	275	551	0
10009	291	523	315	551	0
#WALING Fast LEFT
10018	131	523	155	551	0
10019	91	523	115	550	0
#ani jump flying right
10030	291	603	315	630	0
#ani jump flying left
10027	91	603	115	630	0
#ani fall flying right
10020	331	603	355	630	0
#ani fall flying left
10026	51	603	75	630	0
#flying RIGHT
10010	371	603	395	630	0
10020	331	603	355	630	0
10030	291	603	315	630	0

#Flying LEFT
10025	11	603	35	630	0
10026	51	603	75	630	0
10027	91	603	115	630	0
#Hitting Right
10035	355	483	371	511	0
10036	147	443	170	471	0
10037	390	483	406	511	0
#Hitting Left
10038	355	483	371	511	0
10039	236	443	259	471	0
10040	390	483	406	511	0
#falldown Right
10041	211	603	234	630	0
10045	291	443	314	470	0
#falldown Left
10042	172	603	195	630	0
10046	92	443	114	470	0
#falldown ani right
10043	252	603	274	630	0
#falldown ani left
10044	132	603	154	631	0
# die 
10099	375	209	391	225	0

# SMALL MARIO
# idle small right
10021	217	89	229	104	0
# walk
10022	256	89	271	104	0
10023	255	169	271	185	0
# idle small left
10031	177	89	189	104	0
# walk
10032	135	89	150	104	0
10033	135	169	151	185	0
#jump right
10050	335	89	351	105	0
#jump Left
10051	55	89	71	105	0
#Turn right
10052	176	129	190	145	0
#turn left
10053	216	129	230	145	0
#running right
10054	215	169	231	185	0
10055	255	169	271	185	0
#running left
10056	175	169	191	185	0
10057	135	169	151	185	0
#falling right
10058	335	89	351	105	0
#falling left
10059	55	89	71	105	0


#BIG MARIO
# idle BIG right
11000	216	243	230	270	0
# walk
11001	255	243	271	270	0
11002	295	244	311	270	0
# idle BIG left
11003	176	243	190	270	0
# walk
11004	135	243	151	270	0
11005	95	244	111	270	0
#jump right
11006	335	244	351	270	0
#jump Left
11007	55	244	71	270	0
#Turn right
11008	215	283	231	311	0
#turn left
11009	175	283	191	311	0
#running right
11010	213	323	232	350	0
11011	253	323	272	350	0
11012	293	324	312	350	0
#running left
11013	174	323	193	350	0
11014	134	323	153	350	0
11015	94	324	113	350	0
#falling right
11016	295	244	311	270	0
#falling left
11017	95	244	111	270	0
#sitting right
11018	376	248	390	266	0
#sitting left
11019	16	248	30	266	0

#Fire Mario
# idle BIG right
12000	216	683	230	710	0
# walk
12001	255	683	271	710	0
12002	295	683	311	710	0
# idle BIG left
12003	176	683	190	710	0
# walk
12004	135	683	151	710	0
12005	95	683	111	710	0
#jump right
12006	335	683	351	710	0
#jump Left
12007	55	683	71	710	0
#Turn right
12008	215	723	231	751	0
#turn left
12009	175	723	191	751	0
#running right
12010	213	763	232	790	0
12011	253	763	272	790	0
12012	293	763	312	790	0
#running left
12013	174	763	193	790	0
12014	134	763	153	790	0
12015	94	763	113	790	0
#falling right
12016	295	683	311	710	0
#falling left
12017	95	683	111	710	0
#sitting right
12018	376	688	390	706	0
#sitting left
12019	16	688	30	706	0
#throw Bullet right
12020	366	803	380	830	0
12021	386	803	400	830	0
#throw Bullet Left
12022	26	803	40	830	0
12023	6	803	20	830	0
#Throw Bullet Jump right
12024	333	804	352	830	0
12025	294	803	312	830	0
12026	253	803	272	830	0
#throw Bullet Jump Left
12027	54	804	73	830	0
12028	94	803	112	830	0
12029	134	803	153	830	0
#Kick right
12030	252	723	273	750	0
#kick left
12031	133	723	154	750	0

#BRICK
20001	254	188	270	204	40
#GOOMBA
30001	5	14	21	29	50
30002	25	14	41	29	50
#die
30003	45	21	61	29	50
#die 2
30004	459	870	475	886	60

#bbox
40005	300	117	316	133	30
#brick with question mark animation
40001	157	188	173	204	40
40002	176	188	192	204	40
40003	196	188	212	204	40
40004	215	188	231	204	40
#Weak Brick
40006	274	188	290	204	40
40007	293	188	309	204	40
40008	312	188	328	204	40
40009	331	188	347	204	40
#Brick collision
40010	236	189	252	205	40
#KOOPAS
#walk left
50001	205	191	221	217	10
50002	222	191	238	217	10
#walk right
50011	187	191	202	217	10
50012	170	191	185	217	10
#shell
50013	152	202	168	218	10
#die
50031	239	202	255	218	10
#shell Move
50014	256	202	272	218	10
50015	273	202	289	218	10
50016	290	202	306	218	10
#Brick, colorBox, pipe, ground
60001	0	0	0	0	40

#fireBullet_right
70001	240	554	248	562	70
70002	258	553	266	562	70
70003	258	574	266	582	70
70004	240	573	248	582	70
#fireBullet_Left
70005	198	554	206	562	70
70006	180	553	188	562	70
70007	180	574	188	582	70
70008	198	573	206	582	70
#fire Bullet Boom 
70009	527	20	543	36	20
70010	576	23	587	33	20
70011	586	92	603	108	20
#Plant
80001	273	91	289	123	10
80002	290	91	206	123	10
						
#Mushroom
90001	156	121	172	137	40
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

# ==== MARIO =========
#idle BIG right
400	10001	100
#idle BIG left
401	10011	100
#idle small right
402	10021	100
#idle small left
403	10031	100
#Jump right
404	10004	100
#Jump Left
405	10014	100
#walk right big
500	10001	100	10002	100	10003	100
#walk left big
501	10011	100	10012	100	10013	100
#walk right small
502	10021	100	10022	100	10023	100
#walk left small
503	10031	100	10032	100	10033	100
#Sitting right
505	10005	100
#Sitting left
506	10015	100
#die
599	10099	100
#TURN right
605	10006	100
#turn left
606	10016	100
#WALKING RIGHT FAST SPEED
607	10007	10	10008	10	10009	10
#WALKING LEFT FAST SPEED
608	10017	10	10018	10	10019	10
#Flying RIGHT
609	10010	50	10020	50	10030	50
#flying Left
610	10025	50	10026	50	10027	20
#Hitting RIGHT 
611	10035	70	10036	70	10037	70	10001	70
#Hitting Left
612	10038	70	10039	70	10040	70	10011	70
#falldown Right
613	10041	100
#falldown Left
614	10042	100
#FALL DOWN ANI RIGHT
615	10041	50	10043	50	10045	50
#FALL DOWN ANI LEFT
616	10042	50	10044	50	10046	50
#small
#jumping right
710	10050	100
#jumping left
711	10051	100
#turn right
712	10052	100
#turn left
713	10053	100
#running right
714	10054	50	10055	50
#running left
715	10056	50	10057	50
#falling right
716	10058	100
#falling left
717	10059	100
#ani jump flying right
718	10030	100
#ani Jump flying Left
719	10027	100
#ani fall flying right
720	10020	100
#ani fall flying left
721	10026	100

#BIG MARIO
#IDLE RIGHT
800	11000	100
#IDLE LEFT
801	11003	100
#walk right
802	11000	100	11001	100	11002	100
#walk left
